['biarkanlah', 'informasi', 2]
['bibir', 'anjuran', 0]
['bibir', 'larangan', 1]
['bibir', 'informasi', 1]
['bibirku', 'anjuran', 0]
['bibirku', 'larangan', 1]
['bibirku', 'informasi', 1]
['bibirnya', 'anjuran', 0]
['bibirnya', 'larangan', 1]
['bibirnya', 'informasi', 1]
['bicara', 'anjuran', 1]
['bicara', 'larangan', 0]
['bicara', 'informasi', 1]
['biji', 'anjuran', 1]
['biji', 'larangan', 0]
['biji', 'informasi', 1]
['bilal', 'anjuran', 5]
['bilal', 'larangan', 0]
['bilal', 'informasi', 5]
['bilangan', 'anjuran', 2]
['bilangan', 'larangan', 0]
['bilangan', 'informasi', 2]
['bintang-bintang', 'anjuran', 1]
['bintang-bintang', 'larangan', 1]
['bintang-bintang', 'informasi', 1]
['bosan', 'anjuran', 1]
['bosan', 'larangan', 1]
['bosan', 'informasi', 1]
['buang', 'anjuran', 1]
['buang', 'larangan', 1]
['buang', 'informasi', 0]
['buanglah', 'anjuran', 2]
['buanglah', 'larangan', 0]
['buanglah', 'informasi', 0]
['buatku', 'anjuran', 1]
['buatku', 'larangan', 0]
['buatku', 'informasi', 1]
['buatmu', 'anjuran', 2]
['buatmu', 'larangan', 0]
['buatmu', 'informasi', 2]
['budak', 'anjuran', 3]
['budak', 'larangan', 0]
['budak', 'informasi', 3]
['bukalah', 'anjuran', 1]
['bukalah', 'larangan', 0]
['bukalah', 'informasi', 1]
['bukit', 'anjuran', 2]
['bukit', 'larangan', 0]
['bukit', 'informasi', 2]
['bumi', 'anjuran', 1]
['bumi', 'larangan', 1]
['bumi', 'informasi', 2]
['bumi-nya', 'anjuran', 0]
['bumi-nya', 'larangan', 1]
['bumi-nya', 'informasi', 1]
['bunuh', 'anjuran', 1]
['bunuh', 'larangan', 1]
['bunuh', 'informasi', 1]
['buruk', 'anjuran', 1]
['buruk', 'larangan', 0]
['buruk', 'informasi', 1]
['buta', 'anjuran', 1]
['buta', 'larangan', 0]
['buta', 'informasi', 1]
['cahayanya', 'anjuran', 1]
['cahayanya', 'larangan', 0]
['cahayanya', 'informasi', 1]
['celaka', 'anjuran', 1]
['celaka', 'larangan', 0]
['celaka', 'informasi', 1]
['celana', 'anjuran', 2]
['celana', 'larangan', 1]
['celana', 'informasi', 3]
['cepat', 'anjuran', 1]
['cepat', 'larangan', 0]
['cepat', 'informasi', 1]
['cepat-cepat', 'anjuran', 0]
['cepat-cepat', 'larangan', 1]
['cepat-cepat', 'informasi', 1]
['cincin', 'anjuran', 1]
['cincin', 'larangan', 0]
['cincin', 'informasi', 1]
['cintai', 'anjuran', 2]
['cintai', 'larangan', 0]
['cintai', 'informasi', 2]
['condong', 'anjuran', 1]
['condong', 'larangan', 0]
['condong', 'informasi', 1]
['cuci', 'anjuran', 1]
['cuci', 'larangan', 0]
['cuci', 'informasi', 1]
['cucilah', 'anjuran', 1]
['cucilah', 'larangan', 0]
['cucilah', 'informasi', 0]
['cucu', 'anjuran', 1]
['cucu', 'larangan', 0]
['cucu', 'informasi', 1]
['dadaku', 'anjuran', 1]
['dadaku', 'larangan', 0]
['dadaku', 'informasi', 1]
['dadamu', 'anjuran', 0]
['dadamu', 'larangan', 1]
['dadamu', 'informasi', 1]
['daging', 'anjuran', 3]
['daging', 'larangan', 0]
['daging', 'informasi', 3]
['dagingnya', 'anjuran', 2]
['dagingnya', 'larangan', 0]
['dagingnya', 'informasi', 2]
['dahulukanlah', 'anjuran', 1]
['dahulukanlah', 'larangan', 1]
['dahulukanlah', 'informasi', 1]
['dalamnya', 'anjuran', 5]
['dalamnya', 'larangan', 3]
['dalamnya', 'informasi', 6]
['dapati', 'anjuran', 1]
['dapati', 'larangan', 1]
['dapati', 'informasi', 1]
['darah', 'anjuran', 9]
['darah', 'larangan', 5]
['darah', 'informasi', 10]
['darahnya', 'anjuran', 2]
['darahnya', 'larangan', 1]
['darahnya', 'informasi', 2]
['dariku', 'anjuran', 3]
['dariku', 'larangan', 0]
['dariku', 'informasi', 3]
['darimu', 'anjuran', 4]
['darimu', 'larangan', 2]
['darimu', 'informasi', 4]
['darinya', 'anjuran', 4]
['darinya', 'larangan', 0]
['darinya', 'informasi', 4]
['daripadamu', 'anjuran', 1]
['daripadamu', 'larangan', 0]
['daripadamu', 'informasi', 1]
['datangilah', 'anjuran', 1]
['datangilah', 'larangan', 1]
['datangilah', 'informasi', 1]
['datanglah', 'anjuran', 1]
['datanglah', 'larangan', 1]
['datanglah', 'informasi', 1]
['datangnya', 'anjuran', 1]
['datangnya', 'larangan', 0]
['datangnya', 'informasi', 1]
['daun', 'anjuran', 1]
['daun', 'larangan', 0]
['daun', 'informasi', 1]
['demikianlah', 'anjuran', 1]
['demikianlah', 'larangan', 1]
['demikianlah', 'informasi', 1]
['dengannya', 'anjuran', 4]
['dengannya', 'larangan', 1]
['dengannya', 'informasi', 5]
['dengar', 'anjuran', 2]
['dengar', 'larangan', 0]
['dengar', 'informasi', 2]
['dengarkanlah', 'anjuran', 0]
['dengarkanlah', 'larangan', 1]
['dengarkanlah', 'informasi', 1]
['depannya', 'anjuran', 2]
['depannya', 'larangan', 4]
['depannya', 'informasi', 4]
['derajat', 'anjuran', 1]
['derajat', 'larangan', 0]
['derajat', 'informasi', 1]
['diajak', 'anjuran', 1]
['diajak', 'larangan', 1]
['diajak', 'informasi', 1]
['diakhirkan', 'anjuran', 1]
['diakhirkan', 'larangan', 0]
['diakhirkan', 'informasi', 1]
['diambil', 'anjuran', 1]
['diambil', 'larangan', 0]
['diambil', 'informasi', 1]
['diamlah', 'anjuran', 0]
['diamlah', 'larangan', 1]
['diamlah', 'informasi', 1]
['diampuni', 'anjuran', 4]
['diampuni', 'larangan', 0]
['diampuni', 'informasi', 4]
['diangkat', 'anjuran', 1]
['diangkat', 'larangan', 0]
['diangkat', 'informasi', 1]
['diatas', 'anjuran', 0]
['diatas', 'larangan', 1]
['diatas', 'informasi', 1]
['diatasnya', 'anjuran', 1]
['diatasnya', 'larangan', 0]
['diatasnya', 'informasi', 1]
['dibagi-bagikan', 'anjuran', 1]
['dibagi-bagikan', 'larangan', 0]
['dibagi-bagikan', 'informasi', 1]
['dibanding', 'anjuran', 1]
['dibanding', 'larangan', 0]
['dibanding', 'informasi', 1]
['dibangun', 'anjuran', 1]
['dibangun', 'larangan', 1]
['dibangun', 'informasi', 1]
['dibawa', 'anjuran', 2]
['dibawa', 'larangan', 0]
['dibawa', 'informasi', 2]
['dibawah', 'anjuran', 1]
['dibawah', 'larangan', 0]
['dibawah', 'informasi', 1]
['dibawahnya', 'anjuran', 0]
['dibawahnya', 'larangan', 1]
['dibawahnya', 'informasi', 1]
['dibawanya', 'anjuran', 1]
['dibawanya', 'larangan', 0]
['dibawanya', 'informasi', 1]
['dibenarkan', 'anjuran', 1]
['dibenarkan', 'larangan', 0]
['dibenarkan', 'informasi', 1]
['dibolehkan', 'anjuran', 1]
['dibolehkan', 'larangan', 0]
['dibolehkan', 'informasi', 1]
['dibuang', 'anjuran', 1]
['dibuang', 'larangan', 0]
['dibuang', 'informasi', 1]
['dibuka', 'anjuran', 2]
['dibuka', 'larangan', 0]
['dibuka', 'informasi', 2]
['dibunuh', 'anjuran', 0]
['dibunuh', 'larangan', 1]
['dibunuh', 'informasi', 1]
['diceritakan', 'anjuran', 0]
['diceritakan', 'larangan', 1]
['diceritakan', 'informasi', 1]
['dicintai-nya', 'anjuran', 1]
['dicintai-nya', 'larangan', 1]
['dicintai-nya', 'informasi', 1]
['dicongkel', 'anjuran', 1]
['dicongkel', 'larangan', 0]
['dicongkel', 'informasi', 1]
['didalamnya', 'anjuran', 1]
['didalamnya', 'larangan', 0]
['didalamnya', 'informasi', 1]
['didampingi', 'anjuran', 0]
['didampingi', 'larangan', 1]
['didampingi', 'informasi', 1]
['didapati', 'anjuran', 1]
['didapati', 'larangan', 0]
['didapati', 'informasi', 1]
['didirikan', 'anjuran', 1]
['didirikan', 'larangan', 1]
['didirikan', 'informasi', 1]
['didustakan', 'anjuran', 1]
['didustakan', 'larangan', 0]
['didustakan', 'informasi', 1]
['diganti', 'anjuran', 1]
['diganti', 'larangan', 0]
['diganti', 'informasi', 1]
['dihadirkan', 'anjuran', 1]
['dihadirkan', 'larangan', 0]
['dihadirkan', 'informasi', 1]
['dihafalkan', 'anjuran', 0]
['dihafalkan', 'larangan', 1]
['dihafalkan', 'informasi', 1]
['dihalalkan', 'anjuran', 1]
['dihalalkan', 'larangan', 0]
['dihalalkan', 'informasi', 1]
['diharamkan-nya', 'anjuran', 0]
['diharamkan-nya', 'larangan', 1]
['diharamkan-nya', 'informasi', 1]
['diharap', 'anjuran', 1]
['diharap', 'larangan', 0]
['diharap', 'informasi', 1]
['dihidangkan', 'anjuran', 1]
['dihidangkan', 'larangan', 1]
['dihidangkan', 'informasi', 1]
['dihukum', 'anjuran', 1]
['dihukum', 'larangan', 0]
['dihukum', 'informasi', 1]
['diikatkanlah', 'anjuran', 1]
['diikatkanlah', 'larangan', 0]
